study_id,dataset_id,dependence_id,plant_taxon,animal_taxon,state,source_phenology_group,partner_availability,mean_filled_seed_pct,ci95_low_pct,ci95_high_pct,n_clones,source_id,source_table,notes
IWE084,GrossWerner1983_Sgraminifolia_1980,DEP_IWE084_SOLIDAGO_APIS,Solidago graminifolia,Apis mellifera,low,early,lower,21.71,14.97,29.31,10,10.2307/1942589,Table 5 / Table 10 open controls,"Source-defined early clones; peak flowering before 1 September 1980. Apis first observed 28 August and uncommon before 1 September."
IWE084,GrossWerner1983_Sgraminifolia_1980,DEP_IWE084_SOLIDAGO_APIS,Solidago graminifolia,Apis mellifera,high,late,higher,39.56,32.69,46.64,27,10.2307/1942589,Table 5 / Table 10 open controls,"Complementary late-flowering clone group during September, when Apis was the dominant visitor."
