query_id,engine,family,cutoff_date,query
PUB_MUTUALIST,pubmed,mutualist,2026-09-17,"(phenolog*[Title/Abstract] OR synchron*[Title/Abstract] OR mismatch[Title/Abstract] OR overlap[Title/Abstract] OR \"flowering time\"[Title/Abstract] OR \"flowering date\"[Title/Abstract]) AND (pollinat*[Title/Abstract] OR \"pollinator emergence\"[Title/Abstract] OR \"pollinator activity\"[Title/Abstract]) AND (\"seed set\"[Title/Abstract] OR \"fruit set\"[Title/Abstract] OR fecund*[Title/Abstract] OR fitness[Title/Abstract] OR reproduction[Title/Abstract])"
PUB_ANTAGONIST,pubmed,antagonist,2026-09-17,"(phenolog*[Title/Abstract] OR synchron*[Title/Abstract] OR mismatch[Title/Abstract] OR overlap[Title/Abstract] OR \"flowering time\"[Title/Abstract] OR \"flowering date\"[Title/Abstract]) AND (\"seed predator\"[Title/Abstract] OR \"seed predation\"[Title/Abstract] OR florivor*[Title/Abstract] OR \"flower predator\"[Title/Abstract] OR oviposition[Title/Abstract] OR herbivor*[Title/Abstract]) AND (\"seed set\"[Title/Abstract] OR \"fruit set\"[Title/Abstract] OR fecund*[Title/Abstract] OR fitness[Title/Abstract] OR reproduction[Title/Abstract])"
PUB_MIXED,pubmed,mixed_pollinating_seed_predator,2026-09-17,"(phenolog*[Title/Abstract] OR synchron*[Title/Abstract] OR mismatch[Title/Abstract] OR overlap[Title/Abstract] OR \"flowering time\"[Title/Abstract]) AND (\"nursery pollination\"[Title/Abstract] OR \"pollinating seed predator\"[Title/Abstract] OR Hadena[Title/Abstract] OR Epicephala[Title/Abstract] OR Tegeticula[Title/Abstract] OR Parategeticula[Title/Abstract] OR Chiastocheta[Title/Abstract] OR Greya[Title/Abstract] OR Agaonidae[Title/Abstract] OR \"fig wasp\"[Title/Abstract]) AND (seed*[Title/Abstract] OR fruit*[Title/Abstract] OR fecund*[Title/Abstract] OR fitness[Title/Abstract] OR reproduction[Title/Abstract])"
OA_MUTUALIST,openalex,mutualist,2026-09-17,"phenology synchrony mismatch overlap flowering time flowering date pollinator pollination pollinator emergence pollinator activity seed set fruit set fecundity fitness reproduction"
OA_ANTAGONIST,openalex,antagonist,2026-09-17,"phenology synchrony mismatch overlap flowering time flowering date seed predator seed predation florivore flower predator oviposition herbivore seed set fruit set fecundity fitness reproduction"
OA_MIXED,openalex,mixed_pollinating_seed_predator,2026-09-17,"phenology synchrony mismatch overlap flowering time nursery pollination pollinating seed predator Hadena Epicephala Tegeticula Parategeticula Chiastocheta Greya Agaonidae fig wasp seed fruit fecundity fitness reproduction"
