screening_priority,interaction_family,source_type_bucket,n_records,n_unique_record_types
P2,antagonist,published_research_candidate,97,5
P2,antagonist,dataset_or_repository,2,1
P2,antagonist,preprint,1,1
P2,antagonist,thesis_or_dissertation,1,1
P2,mutualist,published_research_candidate,232,7
P2,mutualist,dataset_or_repository,17,1
P2,mutualist,preprint,11,1
P2,mutualist,review_or_synthesis,4,3
P2,mutualist,conference_or_abstract,2,1
P2,mutualist,other_source_type,1,1
P3,antagonist,published_research_candidate,718,14
P3,antagonist,thesis_or_dissertation,98,1
P3,antagonist,preprint,31,2
P3,antagonist,other_source_type,30,8
P3,antagonist,review_or_synthesis,30,10
P3,antagonist,dataset_or_repository,18,1
P3,antagonist,editorial_or_companion,12,3
P3,antagonist,conference_or_abstract,10,2
P3,mutualist,published_research_candidate,1431,14
P3,mutualist,thesis_or_dissertation,172,1
P3,mutualist,other_source_type,86,7
P3,mutualist,preprint,46,2
P3,mutualist,review_or_synthesis,41,10
P3,mutualist,conference_or_abstract,30,2
P3,mutualist,dataset_or_repository,27,1
P3,mutualist,editorial_or_companion,20,5
