interaction_type,n_screened_current,strict_admitted_records,strict_quantitative_programmes_closed,common_scale_fisher_z_programmes_closed,unresolved_possible_strict,shape_lane_records,context_only_records,excluded_records,strict_admitted_fraction,quantitative_closed_fraction
mutualist,23,5,3,1,9,0,9,0,0.21739130434782608,0.13043478260869565
antagonist,31,1,1,1,7,3,20,0,0.03225806451612903,0.03225806451612903
mixed_pollinating_seed_predator,29,1,1,1,2,1,25,0,0.034482758620689655,0.034482758620689655
